,label
protein-2958,1
protein-29518,0
protein-33859,0
protein-10440,1
protein-7500,1
protein-20150,0
protein-47489,0
protein-19388,0
protein-502,0
protein-6109,1
protein-19899,0
protein-35111,0
protein-36947,0
protein-19640,0
protein-19743,0
protein-60000,0
protein-26858,0
protein-34429,1
protein-43546,0
protein-21601,0
protein-31342,1
protein-58561,1
protein-35982,0
protein-2418,0
protein-32825,0
protein-16343,0
protein-14534,0
protein-35669,1
protein-18989,0
protein-42515,1
protein-15687,1
protein-17064,0
protein-57865,0
protein-39604,1
protein-41533,1
protein-1195,0
protein-374,1
protein-34477,1
protein-874,0
protein-17133,0
protein-3143,0
protein-10825,0
protein-3394,0
protein-14785,0
protein-50784,1
protein-33821,0
protein-16229,0
protein-34678,1
protein-40777,0
protein-51349,1
protein-43893,0
protein-36630,1
protein-39077,1
protein-52673,0
protein-37088,1
protein-36862,0
protein-61687,1
protein-43948,1
protein-11142,0
protein-62478,1
protein-51069,1
protein-54809,1
protein-58849,1
protein-24560,1
protein-9422,0
protein-9929,0
protein-33122,0
protein-13971,0
protein-19762,0
protein-44028,0
protein-29243,1
protein-37401,1
protein-10509,0
protein-20228,1
protein-7569,1
protein-27030,1
protein-49519,0
protein-56343,1
protein-48096,0
protein-52133,0
protein-56537,1
protein-25130,1
protein-177,0
protein-53372,1
protein-42543,1
protein-38914,1
protein-44308,0
protein-14291,1
protein-54582,1
protein-63019,1
protein-8481,1
protein-44804,1
protein-42047,1
protein-41232,1
protein-61084,0
protein-15180,1
protein-660,1
protein-1667,1
protein-57962,0
protein-1170,0
protein-2779,0
protein-25624,1
protein-25530,1
protein-12423,1
protein-50938,1
protein-36523,1
protein-2997,0
protein-61324,1
protein-5160,0
protein-36363,0
protein-56857,1
protein-61339,1
protein-33855,0
protein-40125,1
protein-18366,1
protein-8874,1
protein-8064,1
protein-33148,0
protein-49061,0
protein-16276,0
protein-23175,0
protein-24680,0
protein-18591,0
protein-45220,1
protein-51580,0
protein-56136,0
protein-25479,1
protein-6977,1
protein-23064,1
protein-8446,1
protein-6362,0
protein-56378,1
protein-20042,0
protein-31422,1
protein-56377,1
protein-42792,1
protein-50416,1
protein-33030,0
protein-62192,1
protein-38975,1
protein-12702,1
protein-23347,0
protein-22411,1
protein-35819,0
protein-20677,1
protein-24368,1
protein-53152,0
protein-50892,1
protein-18876,0
protein-60875,0
protein-32478,1
protein-45641,1
protein-11213,0
protein-51829,1
protein-49784,0
protein-24166,0
protein-14447,0
protein-39849,0
protein-58474,0
protein-12848,1
protein-33090,0
protein-25586,1
protein-62236,1
protein-62512,1
protein-10578,0
protein-1139,0
protein-39142,1
protein-46381,1
protein-111,0
protein-55888,0
protein-324,0
protein-58732,1
protein-43985,1
protein-62444,1
protein-6872,1
protein-30059,0
protein-36132,0
protein-44301,0
protein-28847,1
protein-40853,0
protein-11297,0
protein-51786,1
protein-33199,0
protein-60979,1
protein-31954,0
protein-51640,0
protein-17874,0
protein-43534,0
protein-25731,1
protein-49441,0
protein-8791,1
protein-12896,1
protein-38844,1
protein-54058,0
protein-48325,0
protein-32108,0
protein-53344,1
protein-64255,1
protein-31578,1
protein-958,0
protein-45115,1
protein-52239,0
protein-23349,0
protein-55847,0
protein-1282,0
protein-57649,0
protein-49674,0
protein-56655,0
protein-27588,1
protein-4786,0
protein-10836,0
protein-58563,1
protein-24246,0
protein-10850,0
protein-28586,1
protein-3571,0
protein-1699,1
protein-5513,0
protein-54432,1
protein-47488,0
protein-37907,0
protein-39854,0
protein-61172,0
protein-37106,1
protein-16658,1
protein-45300,1
protein-39185,1
protein-34536,1
protein-64550,0
protein-45499,1
protein-8769,1
protein-58641,1
protein-54597,1
protein-12132,1
protein-40938,0
protein-8194,1
protein-6416,0
protein-62327,0
protein-4220,0
protein-16357,0
protein-63844,0
protein-52155,0
protein-9074,1
protein-49560,0
protein-13033,1
protein-6436,1
protein-61108,0
protein-22091,0
protein-8565,1
protein-35044,1
protein-41488,0
protein-52135,0
protein-30208,0
protein-37270,1
protein-58445,0
protein-17806,0
protein-23918,1
protein-38677,1
protein-22353,1
protein-49373,0
protein-36621,1
protein-16110,1
protein-59180,1
protein-18978,0
protein-61170,0
protein-59705,1
protein-63693,0
protein-29226,1
protein-47584,0
protein-9761,0
protein-41741,1
protein-11257,0
protein-53655,1
protein-63007,1
protein-30979,0
protein-32951,0
protein-42204,1
protein-3781,0
protein-48631,1
protein-51899,1
protein-35360,0
protein-56899,1
protein-47856,0
protein-44544,1
protein-16598,0
protein-52428,1
protein-4690,0
protein-46004,1
protein-43026,0
protein-7824,1
protein-18400,1
protein-43118,0
protein-45353,1
protein-52179,0
protein-15360,1
protein-60873,0
protein-48485,0
protein-27119,1
protein-51481,1
protein-11944,1
protein-43572,0
protein-38029,0
protein-5202,0
protein-45035,1
protein-23340,0
protein-60784,1
protein-35889,0
protein-28954,1
protein-22825,1
protein-18160,0
protein-50939,1
protein-44209,0
protein-53598,1
protein-2623,1
protein-47968,0
protein-62766,1
protein-17699,0
protein-44551,1
protein-11659,1
protein-40701,0
protein-17363,0
protein-43931,1
protein-8789,1
protein-43466,0
protein-21591,1
protein-31159,1
protein-33416,0
protein-27132,1
protein-41929,1
protein-56187,1
protein-13362,1
protein-13815,1
protein-19502,0
protein-54594,1
protein-50415,1
protein-4098,0
protein-55525,0
protein-57779,0
protein-52821,1
protein-16308,0
protein-59971,0
protein-2837,0
protein-24580,1
protein-33604,0
protein-46107,1
protein-14143,1
protein-6076,1
protein-52857,1
protein-39293,1
protein-28473,1
protein-3081,1
protein-18474,1
protein-50028,0
protein-57347,1
protein-20508,0
protein-39702,0
protein-32724,0
protein-8258,1
protein-42542,1
protein-55994,1
protein-34970,1
protein-52078,1
protein-59436,0
protein-13903,1
protein-16915,1
protein-38908,1
protein-43674,0
protein-55884,0
protein-56466,1
protein-41483,0
protein-17705,0
protein-56196,1
protein-7891,1
protein-57632,0
protein-46393,1
protein-34418,1
protein-26069,1
protein-25719,1
protein-10442,1
protein-25183,1
protein-45460,1
protein-40004,1
protein-33907,0
protein-48337,0
protein-42744,1
protein-37331,1
protein-8384,1
protein-5740,0
protein-33250,0
protein-56966,1
protein-48798,1
protein-30778,0
protein-21128,1
protein-1662,1
protein-59563,1
protein-22689,1
protein-13960,1
protein-31768,1
protein-19840,1
protein-44402,1
protein-42616,0
protein-18249,1
protein-47981,0
protein-17156,0
protein-55015,0
protein-56495,1
protein-31199,1
protein-15405,0
protein-5087,0
protein-15743,1
protein-9012,1
protein-18150,0
protein-24204,0
protein-51745,1
protein-4525,1
protein-58997,1
protein-30451,0
protein-17535,0
protein-36056,0
protein-60371,1
protein-665,1
protein-51698,0
protein-9737,0
protein-17013,1
protein-26125,1
protein-47595,0
protein-39017,1
protein-36670,1
protein-32430,1
protein-17211,0
protein-52892,0
protein-12302,1
protein-8406,1
protein-58620,0
protein-18383,1
protein-60386,1
protein-57987,0
protein-8358,1
protein-8973,1
protein-19520,0
protein-20407,1
protein-6905,1
protein-14489,0
protein-27972,1
protein-5967,1
protein-1843,1
protein-1813,0
protein-8030,1
protein-21544,1
protein-28772,1
protein-37048,1
protein-60509,0
protein-51691,0
protein-50059,0
protein-38392,1
protein-24419,1
protein-5752,0
protein-42211,1
protein-37768,0
protein-48621,1
protein-23830,1
protein-2508,0
protein-15218,1
protein-3429,0
protein-54704,1
protein-3621,0
protein-22039,0
protein-13100,1
protein-59636,1
protein-53690,1
protein-53553,0
protein-51222,0
protein-53258,1
protein-55373,1
protein-25377,1
protein-293,0
protein-51487,1
protein-23321,0
protein-33275,0
protein-19194,0
protein-28374,1
protein-10312,1
protein-61977,0
protein-18747,1
protein-21045,1
protein-6718,1
protein-6987,1
protein-21132,1
protein-29326,1
protein-12409,1
protein-1391,1
protein-43298,0
protein-44229,0
protein-33424,0
protein-20278,1
protein-37424,1
protein-1645,0
protein-8414,1
protein-81,0
protein-42097,1
protein-49127,0
protein-46082,1
protein-18525,0
protein-29558,0
protein-36229,0
protein-44704,1
protein-37128,1
protein-59942,1
protein-52331,0
protein-36531,1
protein-15745,0
protein-40269,0
protein-14068,0
protein-33154,0
protein-43569,0
protein-59718,1
protein-6743,1
protein-46486,1
protein-18368,1
protein-61052,1
protein-31089,1
protein-21242,1
protein-44295,0
protein-24041,0
protein-53124,0
protein-34886,1
protein-24800,0
protein-58224,0
protein-32107,0
protein-1097,0
protein-2743,0
protein-49360,0
protein-20459,1
protein-8007,1
protein-15711,1
protein-27755,1
protein-52202,0
protein-51119,1
protein-45195,1
protein-45079,1
protein-39687,0
protein-11083,0
protein-61528,1
protein-43363,0
protein-62511,1
protein-18926,0
protein-10982,1
protein-10131,0
protein-40505,0
protein-9058,1
protein-51247,0
protein-15007,1
protein-42334,0
protein-23603,0
protein-20419,1
protein-33722,1
protein-30632,0
protein-9166,1
protein-9233,1
protein-33667,0
protein-12546,1
protein-55908,0
protein-22809,1
protein-41593,1
protein-31185,1
protein-61819,1
protein-22080,0
protein-37566,0
protein-21847,0
protein-32121,0
protein-64327,0
protein-48914,0
protein-53077,0
protein-813,1
protein-11913,1
protein-39845,0
protein-29818,1
protein-25658,1
protein-15349,1
protein-30296,1
protein-54231,0
protein-16468,0
protein-56317,1
protein-41603,1
protein-13048,1
protein-33335,1
protein-39682,0
protein-4837,0
protein-42276,0
protein-697,0
protein-61763,1
protein-43498,0
protein-16498,0
protein-33863,0
protein-1273,0
protein-24383,1
protein-10675,1
protein-12860,1
protein-44456,1
protein-23099,1
protein-12284,1
protein-56961,1
protein-1490,0
protein-61433,1
protein-37577,0
protein-52150,0
protein-63709,0
protein-16496,0
protein-11078,0
protein-31783,1
protein-39486,0
protein-33575,0
protein-12959,1
protein-47540,0
protein-54558,1
protein-26776,0
protein-45346,1
protein-24603,1
protein-4578,1
protein-20865,1
protein-57181,1
protein-20541,0
protein-39948,0
protein-21166,0
protein-5396,0
protein-12729,1
protein-59065,1
protein-24455,0
protein-52321,0
protein-19618,0
protein-47427,0
protein-52212,0
protein-50890,1
protein-31639,1
protein-44561,1
protein-25621,1
protein-36801,0
protein-5982,1
protein-33278,0
protein-49882,0
protein-49701,0
protein-20238,1
protein-17051,0
protein-12554,1
protein-28814,1
protein-44151,0
protein-50687,0
protein-6514,1
protein-1381,1
protein-62397,1
protein-6955,1
protein-24776,0
protein-23202,0
protein-42394,1
protein-15656,1
protein-17684,0
protein-59010,0
protein-27065,1
protein-31288,1
protein-28666,1
protein-21085,1
protein-39679,0
protein-8634,1
protein-36935,0
protein-45687,1
protein-49616,0
protein-37136,1
protein-59383,0
protein-31484,1
protein-60015,0
protein-36853,0
protein-46545,1
protein-35634,1
protein-46968,0
protein-17519,0
protein-9909,0
protein-16410,0
protein-44107,0
protein-57869,0
protein-9208,1
protein-57850,0
protein-40053,1
protein-45020,1
protein-12104,1
protein-29792,1
protein-53135,0
protein-55276,1
protein-45008,1
protein-61650,1
protein-21318,1
protein-49706,0
protein-10500,0
protein-54365,1
protein-7380,0
protein-33762,0
protein-52751,0
protein-61570,1
protein-2310,1
protein-37034,1
protein-23700,0
protein-5346,0
protein-45390,1
protein-32340,1
protein-1641,0
protein-36313,0
protein-15171,1
protein-43552,0
protein-47348,0
protein-18179,0
protein-57008,1
protein-336,1
protein-17754,0
protein-18266,1
protein-40225,0
protein-32279,0
protein-13020,1
protein-24432,1
protein-53524,0
protein-60827,1
protein-43936,1
protein-39722,0
protein-25254,0
protein-58066,0
protein-10640,1
protein-50420,0
protein-50288,1
protein-39302,1
protein-61860,1
protein-51385,1
protein-27695,1
protein-58172,0
protein-33463,0
protein-15125,1
protein-8724,1
protein-9250,1
protein-5187,0
protein-64063,0
protein-42344,0
protein-49236,0
protein-8491,1
protein-12947,1
protein-40736,1
protein-39557,1
protein-32352,1
protein-52753,0
protein-55704,1
protein-35639,1
protein-23797,1
protein-10605,1
protein-38094,1
protein-56053,0
protein-39437,1
protein-63896,0
protein-47190,0
protein-37189,1
protein-34653,1
protein-4392,0
protein-54992,0
protein-47138,0
protein-21395,0
protein-4940,0
protein-50732,1
protein-2594,1
protein-54696,1
protein-56760,1
protein-55305,0
protein-64582,0
protein-47437,0
protein-5548,0
protein-26915,1
protein-61704,1
protein-36760,0
protein-23946,1
protein-11754,1
protein-50265,1
protein-21074,1
protein-31492,1
protein-52400,0
protein-40883,0
protein-4476,0
protein-38997,1
protein-29440,0
protein-10918,1
protein-17920,0
protein-64567,0
protein-3026,0
protein-58614,0
protein-45719,1
protein-48579,1
protein-62709,1
protein-14616,0
protein-2707,0
protein-62939,1
protein-42159,1
protein-18714,1
protein-26754,0
protein-40536,0
protein-51845,1
protein-45625,1
protein-53155,0
protein-56738,1
protein-1878,1
protein-47244,1
protein-47857,0
protein-23205,0
protein-30813,0
protein-45280,1
protein-48118,0
protein-63048,1
protein-58958,1
protein-54120,1
protein-12001,1
protein-63724,0
protein-21770,0
protein-29233,1
protein-4574,1
protein-32193,0
protein-63607,0
protein-61424,1
protein-15444,0
protein-34509,1
protein-32388,1
protein-8207,1
protein-30348,0
protein-51948,1
protein-18795,0
protein-37353,1
protein-36741,1
protein-49936,0
protein-57608,0
protein-44719,1
protein-64479,1
protein-9542,0
protein-25631,1
protein-17378,0
protein-38845,1
protein-22865,1
protein-11633,1
protein-63253,0
protein-37912,0
protein-11984,1
protein-45470,1
protein-31157,1
protein-57033,1
protein-35483,0
protein-61815,1
protein-27889,1
protein-54859,1
protein-27450,1
protein-25660,1
protein-29891,1
protein-23743,0
protein-50103,0
protein-5523,0
protein-14327,0
protein-54823,1
protein-49076,0
protein-23725,0
protein-23045,1
protein-49256,0
protein-56461,1
protein-53249,1
protein-57086,1
protein-49634,0
protein-17151,0
protein-26183,1
protein-2692,0
protein-48353,0
protein-11668,1
protein-6996,1
protein-36364,0
protein-4746,0
protein-8915,1
protein-35682,0
protein-25140,1
protein-52800,1
protein-16346,0
protein-57478,1
protein-25781,1
protein-41015,0
protein-58477,0
protein-8236,1
protein-29015,1
protein-4035,0
protein-44086,0
protein-6419,0
protein-38606,1
protein-15911,1
protein-7092,1
protein-39536,1
protein-54511,1
protein-38607,1
protein-27272,1
protein-17373,0
protein-60158,0
protein-54237,0
protein-17368,0
protein-11276,0
protein-50347,1
protein-63645,0
protein-6708,1
protein-2636,1
protein-20242,1
protein-35693,0
protein-25976,1
protein-13279,1
protein-46020,1
protein-13091,1
protein-1968,0
protein-46562,1
protein-45695,1
protein-7617,1
protein-20211,1
protein-14188,1
protein-1794,0
protein-24868,1
protein-31075,1
protein-24984,0
protein-21477,1
protein-31652,1
protein-12521,1
protein-36984,0
protein-55098,0
protein-39332,1
protein-57989,0
protein-36343,0
protein-23745,0
protein-50458,0
protein-48551,1
protein-62874,1
protein-63244,0
protein-44527,1
protein-20631,1
protein-36645,1
protein-45869,1
protein-54361,1
protein-17114,0
protein-43093,0
protein-14218,1
protein-60762,1
protein-16160,1
protein-5454,0
protein-40054,1
protein-24130,0
protein-21966,1
protein-25878,1
protein-11070,0
protein-17667,0
protein-11388,1
protein-32492,1
protein-4564,1
protein-22692,1
protein-30199,0
protein-18894,0
protein-51919,1
protein-16385,0
protein-7647,1
protein-39232,1
protein-46261,1
protein-14899,0
protein-5719,0
protein-29439,0
protein-60333,1
protein-19152,0
protein-43537,0
protein-60040,0
protein-19453,0
protein-32252,0
protein-15531,1
protein-62935,1
protein-45796,1
protein-21235,1
protein-56373,1
protein-7688,1
protein-51609,0
protein-53918,0
protein-1031,0
protein-28857,1
protein-33243,0
protein-11483,1
protein-20328,1
protein-19434,0
protein-45048,1
protein-29269,1
protein-15645,1
protein-62273,0
protein-62498,1
protein-29280,1
protein-3419,0
protein-20199,1
protein-31541,1
protein-21842,0
protein-18850,0
protein-38104,1
protein-62839,1
protein-49792,0
protein-58684,1
protein-29559,0
protein-45308,1
protein-10603,1
protein-23154,1
protein-34444,1
protein-49422,0
protein-53356,1
protein-45710,1
protein-9988,0
protein-57049,1
protein-36265,0
protein-64057,0
protein-27020,1
protein-33649,1
protein-37473,0
protein-16438,0
protein-53418,1
protein-40371,0
protein-2645,1
protein-52182,0
protein-48799,1
protein-50354,1
protein-38594,1
protein-31604,1
protein-1033,0
protein-49544,0
protein-63034,1
protein-28782,1
protein-3954,0
protein-39610,1
protein-34082,1
protein-28662,1
protein-28020,1
protein-49320,0
protein-60500,1
protein-12591,1
protein-19486,0
protein-45809,1
protein-62119,1
protein-15461,1
protein-32771,0
protein-43787,0
protein-58459,0
protein-21500,1
protein-62258,1
protein-63583,0
protein-14065,0
protein-15768,1
protein-64306,1
protein-19385,0
protein-1167,0
protein-40565,0
protein-37890,0
protein-22699,1
protein-41105,0
protein-21139,1
protein-15807,1
protein-64039,0
protein-62605,1
protein-5748,0
protein-34445,1
protein-38741,1
protein-11048,1
protein-40914,0
protein-25903,1
protein-17610,0
protein-62697,1
protein-40738,1
protein-7325,1
protein-35601,1
protein-50804,1
protein-11498,1
protein-31463,1
protein-44880,1
protein-4614,1
protein-13185,1
protein-37422,1
protein-9195,1
protein-51933,1
protein-62023,0
protein-33353,1
protein-12934,1
protein-19415,0
protein-7328,1
protein-28132,1
protein-43992,1
protein-61063,1
protein-13401,1
protein-30156,0
protein-4245,0
protein-21584,1
protein-32660,1
protein-19512,0
protein-41288,1
protein-28986,1
protein-8558,1
protein-55466,0
protein-9903,0
protein-56822,1
protein-10997,1
protein-35117,0
protein-54988,0
protein-42715,1
protein-60249,0
protein-43709,0
protein-13338,1
protein-40426,0
protein-1622,0
protein-37072,1
protein-19342,0
protein-27699,1
protein-58967,1
protein-27306,1
protein-56869,1
protein-29183,1
protein-36698,1
protein-58041,0
protein-9539,0
protein-25298,0
protein-35459,0
protein-38867,1
protein-44138,0
protein-14182,1
protein-62409,1
protein-63265,1
protein-544,0
protein-19696,0
protein-19865,1
protein-5427,0
protein-41157,1
protein-20878,0
protein-13624,1
protein-57476,1
protein-55639,1
protein-60981,1
protein-23112,1
protein-31979,0
protein-22817,1
protein-62859,1
protein-39276,1
protein-25947,1
protein-31926,0
protein-38950,1
protein-11911,1
protein-29357,1
protein-62095,1
protein-6435,1
protein-51137,0
protein-8054,1
protein-19918,0
protein-22469,1
protein-18955,0
protein-21681,1
protein-43237,0
protein-3349,0
protein-26482,0
protein-57964,0
protein-40115,1
protein-36565,1
protein-30781,0
protein-3468,0
protein-61710,1
protein-25647,1
protein-35731,0
protein-51386,1
protein-53984,0
protein-27999,1
protein-5762,0
protein-12660,1
protein-61945,0
protein-9732,0
protein-10942,1
protein-16865,1
protein-36572,1
protein-30167,0
protein-63041,1
protein-8590,1
protein-36859,0
protein-9958,0
protein-40830,0
protein-33566,0
protein-4725,0
protein-50585,0
protein-18107,0
protein-42721,1
protein-12204,1
protein-8396,1
protein-39053,1
protein-46295,1
protein-1279,0
protein-801,1
protein-42788,1
protein-31733,1
protein-43997,1
protein-41959,1
protein-14514,0
protein-51097,1
protein-18717,1
protein-61491,1
protein-26101,1
protein-50146,0
protein-5844,1
protein-14806,0
protein-21550,1
protein-28610,1
protein-43649,0
protein-37508,0
protein-34781,1
protein-50757,1
protein-39935,0
protein-45486,1
protein-18810,0
protein-52485,1
protein-27343,1
protein-16046,1
protein-28469,1
protein-33390,0
protein-37659,0
protein-45768,1
protein-10950,1
protein-23972,0
protein-57360,1
protein-6975,1
protein-18685,0
protein-25201,0
protein-21534,1
protein-46668,1
protein-40629,0
protein-60548,0
protein-32716,0
protein-16630,1
protein-2363,1
protein-8655,1
protein-24082,0
protein-25241,0
protein-3335,0
protein-12209,1
protein-13313,1
protein-47710,0
protein-54346,1
protein-16330,0
protein-29286,1
protein-63802,0
protein-61531,1
protein-9933,0
protein-44580,1
protein-35261,0
protein-39348,1
protein-42,0
protein-13665,1
protein-24447,0
protein-52320,0
protein-44228,0
protein-11273,0
protein-58070,0
protein-38823,1
protein-37491,0
protein-63398,0
protein-60065,0
protein-19680,0
protein-30311,1
protein-54738,1
protein-39954,0
protein-59114,1
protein-27089,1
protein-18058,0
protein-28845,1
protein-875,0
protein-36923,0
protein-29948,1
protein-62884,1
protein-39553,1
protein-43439,0
protein-56463,1
protein-47207,0
protein-17057,0
protein-51501,0
protein-50466,0
protein-40532,0
protein-3835,0
protein-49595,0
protein-35014,1
protein-19045,0
protein-42562,0
protein-36319,0
protein-29021,1
protein-21021,1
protein-28577,1
protein-15945,1
protein-10959,1
protein-8365,1
protein-18787,0
protein-26916,1
protein-59816,1
protein-57708,0
protein-13059,1
protein-49067,0
protein-60534,0
protein-63414,0
protein-46478,1
protein-62667,1
protein-31716,1
protein-6020,1
protein-4270,1
protein-7485,1
protein-1327,0
protein-28424,1
protein-63505,0
protein-18497,0
protein-50200,1
protein-1303,0
protein-33642,0
protein-25176,1
protein-7145,1
protein-60773,1
protein-49439,0
protein-30913,0
protein-3837,0
protein-38318,1
protein-42289,0
protein-34326,1
protein-38616,1
protein-148,0
protein-57120,1
protein-42016,1
protein-30595,0
protein-14876,0
protein-62301,0
